,0,1
889,pokemon131,pokemon243
890,pokemon171,pokemon302
891,pokemon332,pokemon257
892,pokemon251,pokemon317
893,pokemon158,pokemon351
894,pokemon279,pokemon196
895,pokemon131,pokemon334
896,pokemon281,pokemon186
897,pokemon140,pokemon52
898,pokemon74,pokemon300
899,pokemon238,pokemon163
900,pokemon332,pokemon186
901,pokemon354,pokemon34
902,pokemon253,pokemon318
903,pokemon323,pokemon11
904,pokemon349,pokemon356
905,pokemon132,pokemon117
906,pokemon338,pokemon329
907,pokemon165,pokemon85
908,pokemon74,pokemon245
909,pokemon273,pokemon164
910,pokemon240,pokemon365
911,pokemon188,pokemon204
912,pokemon114,pokemon239
913,pokemon236,pokemon320
914,pokemon252,pokemon141
915,pokemon210,pokemon172
916,pokemon338,pokemon228
917,pokemon264,pokemon362
918,pokemon25,pokemon264
919,pokemon348,pokemon1
920,pokemon226,pokemon57
921,pokemon31,pokemon213
922,pokemon282,pokemon244
923,pokemon163,pokemon158
924,pokemon22,pokemon342
925,pokemon223,pokemon84
926,pokemon295,pokemon160
927,pokemon332,pokemon217
928,pokemon243,pokemon99
929,pokemon284,pokemon75
930,pokemon202,pokemon172
931,pokemon120,pokemon256
932,pokemon147,pokemon110
933,pokemon328,pokemon19
934,pokemon308,pokemon203
935,pokemon53,pokemon279
936,pokemon304,pokemon123
937,pokemon86,pokemon8
938,pokemon159,pokemon251
939,pokemon108,pokemon349
940,pokemon354,pokemon67
941,pokemon256,pokemon146
942,pokemon221,pokemon7
943,pokemon2,pokemon254
944,pokemon192,pokemon93
945,pokemon211,pokemon136
946,pokemon300,pokemon24
947,pokemon319,pokemon292
948,pokemon177,pokemon167
949,pokemon293,pokemon144
950,pokemon157,pokemon367
951,pokemon342,pokemon164
952,pokemon37,pokemon125
953,pokemon152,pokemon246
954,pokemon243,pokemon47
955,pokemon181,pokemon171
956,pokemon152,pokemon102
957,pokemon145,pokemon211
958,pokemon285,pokemon344
959,pokemon7,pokemon75
960,pokemon57,pokemon41
961,pokemon98,pokemon170
962,pokemon70,pokemon251
963,pokemon349,pokemon154
964,pokemon4,pokemon102
965,pokemon137,pokemon279
966,pokemon215,pokemon51
967,pokemon161,pokemon160
968,pokemon180,pokemon258
969,pokemon245,pokemon332
970,pokemon106,pokemon25
971,pokemon146,pokemon314
972,pokemon348,pokemon162
973,pokemon214,pokemon272
974,pokemon342,pokemon243
975,pokemon284,pokemon137
976,pokemon305,pokemon22
977,pokemon53,pokemon148
978,pokemon90,pokemon84
979,pokemon196,pokemon165
980,pokemon116,pokemon13
981,pokemon68,pokemon167
982,pokemon86,pokemon161
983,pokemon223,pokemon184
984,pokemon315,pokemon306
985,pokemon279,pokemon299
986,pokemon40,pokemon195
987,pokemon173,pokemon136
988,pokemon322,pokemon117
989,pokemon219,pokemon190
990,pokemon343,pokemon263
991,pokemon241,pokemon305
992,pokemon263,pokemon280
993,pokemon336,pokemon163
994,pokemon84,pokemon306
995,pokemon311,pokemon30
996,pokemon242,pokemon71
997,pokemon191,pokemon103
